from,to,type,weight
s01,s02,mention,22
s01,s03,mention,22
s01,s04,mention,21
s05,s06,mention,20
s05,s07,mention,23
s05,s08,mention,21
s05,s09,mention,1
s05,s10,mention,5
s05,s11,mention,21
s12,s13,mention,22
s12,s14,mention,1
s12,s15,mention,4
s12,s16,mention,2
s12,s17,mention,1
s12,s18,mention,1
s12,s19,mention,23
s12,s20,mention,1
s12,s21,mention,22
s12,s22,mention,3
s12,s23,mention,2
s12,s24,mention,1
s12,s25,mention,21
s26,s27,mention,2
s26,s28,mention,21
s26,s29,mention,1
s26,s30,mention,21
s26,s31,mention,21
s26,s32,mention,1
s26,s33,mention,22
s26,s34,mention,21
s26,s35,mention,4
s36,s37,mention,2
s36,s38,mention,21
s36,s39,mention,23
s36,s40,mention,21
s36,s41,mention,2
s36,s42,mention,2
s36,s43,mention,22
s36,s44,mention,22
s36,s28,mention,21
s36,s27,mention,1
s36,s47,mention,1
s48,s49,mention,21
s48,s50,mention,22
s48,s51,mention,1
s48,s52,mention,4
s53,s54,mention,23
s53,s55,mention,21
s53,s56,mention,4
s53,s57,mention,22
s53,s58,mention,21
s53,s59,mention,1
s53,s35,mention,1
s53,s61,mention,21
s53,s62,mention,22
s53,s28,mention,1
s53,s27,mention,4
s53,s65,mention,4
s53,s66,mention,23
s53,s35,mention,21
s53,s68,mention,4
s53,s69,mention,22
s70,s71,mention,21
s70,s72,mention,1
s70,s73,mention,1
s70,s74,mention,21
s70,s75,mention,22
s70,s76,mention,1
s70,s77,mention,4
s70,s78,mention,4
s70,s61,mention,23
s70,s80,mention,21
s70,s81,mention,4
s41,s81,connect,13
s33,s22,connect,13
s29,s61,connect,13
s11,s61,connect,13
s50,s47,connect,13
s38,s50,connect,13
s38,s47,connect,13
s38,s49,connect,13
s82,s83,mention,13
s82,s75,mention,13
s82,s85,mention,13
s82,s86,mention,13
s82,s87,mention,13
s82,s88,mention,13
s82,s33,mention,13
s82,s34,mention,13
s91,s92,mention,13
s91,s93,mention,13
s91,s94,mention,13
s91,s95,mention,13
s91,s40,mention,13
s91,s97,mention,13
s91,s98,mention,13
s99,s100,mention,13
s99,s101,mention,13
s99,s102,mention,13
s99,s75,mention,13
s99,s104,mention,13
s99,s88,mention,13
s99,s106,mention,13
s99,s107,mention,13
s99,s33,mention,13
s99,s109,mention,13
s110,s111,mention,13
s110,s112,mention,13
s110,s86,mention,13
s110,s114,mention,13
s110,s115,mention,13
s110,s116,mention,13
s110,s117,mention,13
s110,s118,mention,13
s110,s119,mention,13
s110,s120,mention,13
s110,s121,mention,13
s110,s115,mention,13
s110,s123,mention,13
s110,s124,mention,13
s110,s125,mention,13
s126,s127,mention,13
s126,s128,mention,13
s126,s129,mention,13
s126,s130,mention,13
s126,s131,mention,13
s126,s132,mention,13
s133,s134,mention,13
s133,s135,mention,13
s133,s136,mention,13
s133,s137,mention,13
s133,s138,mention,13
s133,s139,mention,13
s133,s140,mention,13
s133,s141,mention,13
s133,s142,mention,13
s143,s144,mention,13
s143,s145,mention,13
s143,s146,mention,13
s143,s147,mention,13
s143,s148,mention,13
s143,s149,mention,13
s143,s150,mention,13
s143,s151,mention,13
s143,s152,mention,13
s143,s153,mention,13
s154,s33,mention,13
s154,s156,mention,13
s154,s157,mention,13
s154,s158,mention,13
s154,s159,mention,13
s154,s160,mention,13
s154,s161,mention,13
s162,s163,mention,13
s162,s164,mention,13
s162,s165,mention,13
s162,s166,mention,13
s167,s35,mention,13
s167,s169,mention,13
s167,s170,mention,13
s167,s171,mention,13
s167,s148,mention,13
s167,s149,mention,13
s167,s174,mention,13
s167,s175,mention,13
s167,s33,mention,13
s167,s177,mention,13
s167,s178,mention,13
s167,s179,mention,13
s167,s180,mention,13
s167,s181,mention,13
s167,s182,mention,13
s183,s184,mention,13
s183,s185,mention,13
s183,s186,mention,13
s183,s27,mention,13
s183,s28,mention,13
s183,s189,mention,13
s183,s190,mention,13
s183,s191,mention,13
s183,s192,mention,13
s183,s193,mention,13
s194,s27,mention,13
s194,s28,mention,13
s194,s197,mention,13
s194,s198,mention,13
s194,s199,mention,13
s194,s200,mention,13
s194,s124,mention,13
s202,s203,mention,13
s202,s204,mention,13
s202,s205,mention,13
s202,s206,mention,13
s202,s33,mention,13
s202,s208,mention,13
s202,s209,mention,13
s202,s210,mention,13
s202,s211,mention,13
s212,s213,mention,13
s212,s214,mention,13
s212,s215,mention,13
s212,s216,mention,13
s212,s217,mention,13
s212,s218,mention,13
